filename,lineno,func,prim_calls,total_calls,tottime,cumtime
~,0,<method 'set' of '_contextvars.ContextVar' objects>,7,7,1.7584e-05,1.7584e-05
~,0,<method 'reset' of '_contextvars.ContextVar' objects>,7,7,1.1741e-05,1.1741e-05
~,0,<method 'run' of '_contextvars.Context' objects>,3,3,1.5971e-05,0.0014643170000000001
~,0,<method 'union' of 'set' objects>,6,6,5.0321e-05,5.0321e-05
~,0,<method 'get' of 'dict' objects>,131806,131806,0.058369254,0.058369254
~,0,<method 'items' of 'dict' objects>,273659,273659,0.09306171,0.09306171
~,0,<method 'values' of 'dict' objects>,1,1,8.74e-07,8.74e-07
~,0,<method 'update' of 'dict' objects>,36,36,2.8460000000000002e-05,2.8460000000000002e-05
~,0,<method 'copy' of 'dict' objects>,1,1,4.5500000000000004e-07,4.5500000000000004e-07
~,0,<method 'append' of 'list' objects>,230,230,8.8004e-05,8.8004e-05
~,0,<method 'insert' of 'list' objects>,2,2,2.0790000000000003e-06,2.0790000000000003e-06
~,0,<method 'extend' of 'list' objects>,2,2,7.95e-07,7.95e-07
~,0,<method 'encode' of 'str' objects>,4,4,4.813e-06,4.813e-06
~,0,<method 'replace' of 'str' objects>,2,2,2.517e-06,2.517e-06
~,0,<method 'join' of 'str' objects>,35469,35469,0.241302978,0.5848575260000001
~,0,<method 'upper' of 'str' objects>,4,4,3.1220000000000003e-06,3.1220000000000003e-06
~,0,<method 'startswith' of 'str' objects>,78,78,3.2589e-05,3.2589e-05
~,0,<method 'format' of 'str' objects>,20,20,1.554e-05,1.554e-05
<frozen abc>,121,__subclasscheck__,2,2,3.4600000000000003e-06,7.862e-06
<frozen abc>,117,__instancecheck__,37,37,4.0405000000000004e-05,0.000110853
<frozen importlib._bootstrap>,1390,_handle_fromlist,4,4,1.2258e-05,1.6938e-05
~,0,<built-in method builtins.abs>,103,103,0.000226846,0.000226846
~,0,<built-in method builtins.all>,36,36,4.0991e-05,4.0991e-05
~,0,<built-in method builtins.any>,108,108,0.000113485,0.000162633
~,0,<built-in method builtins.callable>,78,78,2.6147000000000002e-05,2.6147000000000002e-05
~,0,<built-in method builtins.getattr>,174676,174676,0.18702515700000003,0.18702515700000003
~,0,<built-in method builtins.hasattr>,31,31,2.4240000000000002e-05,2.4240000000000002e-05
~,0,<built-in method builtins.hash>,4,4,2.239e-06,2.239e-06
~,0,<built-in method builtins.isinstance>,208210,208214,0.063931057,0.064064339
~,0,<built-in method builtins.issubclass>,197700,197700,0.111890026,0.111897888
~,0,<built-in method builtins.iter>,72,72,2.5728e-05,2.5728e-05
~,0,<built-in method builtins.len>,108761,108761,0.039746015,0.039746015
~,0,<built-in method builtins.locals>,1,1,2.511e-06,2.511e-06
~,0,<built-in method builtins.max>,42,42,0.00010437300000000001,0.00010437300000000001
~,0,<built-in method builtins.min>,39,39,5.2048e-05,5.465e-05
~,0,<built-in method builtins.round>,65881,65881,0.21015449100000003,0.21015449100000003
~,0,<built-in method builtins.sorted>,2,2,8.387000000000001e-06,8.387000000000001e-06
~,0,<built-in method builtins.sum>,6,6,5.2890000000000005e-06,5.2890000000000005e-06
~,0,<method '__exit__' of '_thread.RLock' objects>,1,1,8.690000000000001e-07,8.690000000000001e-07
~,0,<method 'acquire' of '_thread.lock' objects>,1,1,1.2790000000000002e-06,1.2790000000000002e-06
~,0,<method '__exit__' of '_thread.lock' objects>,2,2,1.2220000000000001e-06,1.2220000000000001e-06
~,0,<method 'close' of '_io.StringIO' objects>,1,1,4.42e-07,4.42e-07
~,0,<method 'getvalue' of '_io.StringIO' objects>,1,1,2.076e-06,2.076e-06
~,0,<built-in method time.time>,2,2,1.294e-06,1.294e-06
~,0,<built-in method time.sleep>,15,15,0.0045642980000000005,0.006998753000000001
~,0,<built-in method time.monotonic>,5,5,5.517000000000001e-06,5.517000000000001e-06
~,0,<built-in method time.process_time>,48,48,0.000186855,0.000186855
~,0,<built-in method time.perf_counter>,48,48,2.3994e-05,2.3994e-05
~,0,<built-in method posix.getpid>,4,4,4.789e-06,4.789e-06
~,0,<built-in method posix.getppid>,16,16,4.7292e-05,4.7292e-05
~,0,<built-in method _abc._abc_instancecheck>,37,37,7.0448e-05,7.0448e-05
~,0,<built-in method _abc._abc_subclasscheck>,2,2,4.402e-06,4.402e-06
~,0,<method 'append' of 'collections.deque' objects>,4,4,3.519e-06,3.519e-06
~,0,<method 'popleft' of 'collections.deque' objects>,5,5,2.965e-06,2.965e-06
~,0,<built-in method _operator.index>,16,16,8.305000000000001e-06,8.305000000000001e-06
~,0,<built-in method utcnow>,1,1,2.6594000000000003e-05,2.6594000000000003e-05
~,0,<method 'isoformat' of 'datetime.datetime' objects>,2,2,2.213e-05,2.213e-05
~,0,<method 'replace' of 'datetime.datetime' objects>,1,1,5.1480000000000005e-06,5.1480000000000005e-06
~,0,<built-in method math.ceil>,1,1,1.1010000000000001e-06,1.1010000000000001e-06
~,0,<built-in method _heapq.heappush>,1,1,1.0110000000000001e-06,1.0110000000000001e-06
~,0,<built-in method _heapq.heappop>,1,1,1.221e-06,1.221e-06
~,0,<method 'poll' of 'select.epoll' objects>,3,3,0.000107953,16.390714456
enum.py,1128,__new__,20,20,1.8887e-05,1.8887e-05
traitlets.py,2336,_validate_bounds,1,1,7.8e-07,7.8e-07
typing.py,1770,_no_init_or_replace_init,1,1,2.542e-06,2.542e-06
encoder.py,205,iterencode,4,4,4.1555000000000004e-05,9.0566e-05
selectors.py,451,select,3,3,0.000109931,16.857680708
traitlets.py,702,set,1,1,4.952e-06,2.5651000000000002e-05
base_events.py,771,call_at,1,1,1.0514000000000001e-05,2.6632000000000002e-05
traitlets.py,651,get,14,14,8.063e-06,8.063e-06
traitlets.py,740,_cross_validate,1,1,4.383e-06,5.915e-06
base_events.py,1922,_run_once,3,3,0.000112968,16.861103242000002
events.py,86,_run,3,3,1.8432000000000002e-05,0.001482749
selector_events.py,750,_process_events,3,3,1.0639000000000001e-05,1.8957e-05
attrsettr.py,43,__getattr__,4,4,4.5849e-05,0.000192238
socket.py,632,send,8,8,0.000173928,0.000289432
socket.py,709,send_multipart,1,1,2.2295000000000003e-05,0.000326922
socket.py,780,recv_multipart,2,2,4.9340000000000005e-05,9.8576e-05
session.py,687,serialize,1,1,3.4519e-05,0.00019034000000000002
session.py,751,send,1,1,3.0656e-05,0.00038917700000000005
zmqstream.py,574,_handle_events,2,2,3.3367e-05,0.0009596200000000001
jsonutil.py,108,json_default,2,2,2.2197e-05,4.9011e-05
zmqstream.py,615,_handle_recv,2,2,2.7167000000000003e-05,0.0006041750000000001
iostream.py,495,_flush,1,1,2.5589000000000002e-05,0.00047252700000000004
iostream.py,90,_event_pipe,1,1,3.6970000000000003e-06,3.6970000000000003e-06
numeric.py,460,count_nonzero,65881,65881,0.048572356000000004,0.083380143
numeric.py,1373,normalize_axis_tuple,4,4,3.8026000000000005e-05,4.5006e-05
_internal.py,448,_promote_fields,1,1,8.0667e-05,9.991100000000001e-05
fromnumeric.py,69,_wrapreduction,273629,273629,0.707715285,2.1079923270000003
numeric.py,1437,moveaxis,2,2,3.2771e-05,9.437100000000001e-05
_ufunc_config.py,410,__enter__,6,6,2.0969000000000002e-05,5.2331000000000004e-05
_ufunc_config.py,434,inner,1,1,5.2015e-05,5.7593e-05
getlimits.py,487,__new__,131762,131762,0.100482967,0.158753848
einsumfunc.py,1057,einsum,138,138,0.000133868,0.0015290210000000002
_internal.py,261,__init__,720,720,0.0010667,0.001078938
_linalg.py,148,_commonType,6,6,3.3269e-05,5.4031000000000005e-05
_function_base_impl.py,249,flip,1,1,5.7510000000000005e-06,8.377000000000001e-06
_stride_tricks_impl.py,349,_broadcast_to,72,72,0.000939376,0.001333105
_linalg.py,2566,norm,1,1,1.7760000000000003e-05,3.321e-05
_arraysetops_impl.py,144,unique,108210,108210,0.31290971300000003,2.492709907
_arraysetops_impl.py,342,_unique1d,108210,108210,1.408784787,2.0508087560000003
_function_base_impl.py,1324,diff,13,13,0.000156649,0.000174057
linalg_helper.py,166,_fill_heff_hermitian,36,36,0.001065051,0.0014698860000000001
numpy_helper.py,256,pack_tril,6,6,0.000141983,0.000186505
linalg_helper.py,1409,_qr,6,6,0.000258152,0.0008233740000000001
misc.py,702,check_sanity,6,6,9.6773e-05,0.000129362
numpy_helper.py,478,take_2d,36,36,0.0017965910000000002,0.002779788
linalg_helper.py,1466,_sort_elast,30,30,0.001023304,0.001851895
linalg_helper.py,1490,_normalize_xt_,30,30,0.000803999,0.0009352680000000001
_util.py,410,_asarray_validated,36,36,0.000251085,0.0013902370000000001
linalg_helper.py,291,davidson1,6,6,0.002791584,0.039971056000000005
linalg_helper.py,1432,_outprod_to_subspace,72,72,0.0015782390000000002,0.002334075
lapack.py,1059,_check_work_float,72,72,0.00021276200000000002,0.00021276200000000002
_util.py,1203,wrapper,36,36,0.000536032,0.005399901
_decomp.py,284,eigh,36,36,0.0022187220000000002,0.004813236
addons.py,190,_convert,48,48,0.001020717,0.00177125
addons.py,60,restore,96,96,0.000460438,0.002579088
rdm.py,123,make_rdm12_spin1,6,6,0.001531351,0.0016722730000000002
selected_ci.py,175,cre_des_linkstr,48,48,0.000723359,0.0012297080000000001
rdm.py,91,make_rdm1_spin1,24,24,0.0005440950000000001,0.0010234270000000001
direct_spin1.py,178,absorb_h1e,6,6,0.000599232,0.0013259060000000002
cistring.py,113,_strs2occslst,12,12,0.000262632,0.00038617100000000004
direct_spin1.py,549,_get_init_guess,6,6,0.000271473,0.0006379140000000001
direct_spin1.py,847,__init__,6,6,2.3385e-05,2.3385e-05
selected_ci.py,194,des_des_linkstr,24,24,8.27e-06,8.27e-06
selected_ci.py,48,contract_2e,36,36,0.011294252000000001,0.022235764
selected_ci.py,289,make_hdiag,6,6,0.000443316,0.001111446
selected_ci.py,313,kernel_fixed_space,6,6,0.000284199,0.044689183
selected_ci.py,519,make_rdm2s,6,6,7.220800000000001e-05,0.002141652
bit_array.py,67,__init__,1,1,3.5874e-05,4.1054000000000004e-05
subsampling.py,96,postselect_by_hamming_right_and_left,1,1,0.00022647400000000003,0.0027524890000000003
ipython-input-3795278461.py,92,work_fn,1,1,0.000167286,16.390456634
fermion.py,476,solve_sci,6,6,0.000402341,0.050088320000000006
fermion.py,66,__post_init__,6,6,2.6539e-05,3.2959e-05
subsampling.py,147,subsample,2,2,7.3766e-05,0.00010163900000000001
configuration_recovery.py,59,recover_configurations,1,1,0.281624223,15.851468435000001
fermion.py,149,diagonalize_fermionic_hamiltonian,1,1,0.002909585,16.390153124
configuration_recovery.py,181,_bipartite_bitstring_correcting,35465,35465,7.233086472,14.977790082
fermion.py,377,<lambda>,6,6,2.6020000000000002e-06,2.6020000000000002e-06
configuration_recovery.py,162,_p_flip_1_to_0,269453,269453,0.220083889,0.41663828900000005
<string>,2,__init__,6,6,5.1608000000000005e-05,8.4567e-05
fermion.py,428,_unique_with_order_preserved,7,7,2.4560000000000002e-05,0.000148739
configuration_recovery.py,131,_p_flip_0_to_1,709300,709300,0.421907342,0.421907342
counts.py,45,bit_array_to_arrays,1,1,0.000109184,0.010749092
counts.py,186,bitstring_matrix_to_integers,12,12,0.00035267100000000004,0.00036383300000000004
fermion.py,435,solve_sci_batch,2,2,6.2458e-05,0.050150778
bit_array.py,157,num_shots,1,1,2.38e-06,2.38e-06
bit_array.py,144,array,1,1,9.660000000000002e-07,9.660000000000002e-07
bit_array.py,37,_min_num_bytes,1,1,2.2e-06,2.2e-06
bit_array.py,149,num_bits,1,1,2.4270000000000002e-06,2.4270000000000002e-06
addons.py,822,_unpack_nelec,102,102,0.000109364,0.000156348
selected_ci.py,769,get_init_guess,6,6,4.2092e-05,0.0007139420000000001
selected_ci.py,903,_all_linkstr_index,6,6,2.0493000000000002e-05,0.000354046
addons.py,206,_stand_sym_code,96,96,0.00018127600000000002,0.000205806
direct_spin1.py,920,eig,6,6,0.000169891,0.040144358000000005
selected_ci.py,568,make_rdm2,6,6,0.000257314,0.0024089330000000003
selected_ci.py,346,hop,36,36,0.00030907300000000004,0.023194533
selected_ci.py,812,make_rdm1s,12,12,4.8316e-05,0.0018844450000000002
selected_ci.py,830,make_rdm2,6,6,2.5839e-05,0.00244703
selected_ci.py,758,contract_2e,36,36,0.000153062,0.022404628000000003
logger.py,142,debug,42,42,1.5367e-05,1.5367e-05
logger.py,146,debug1,12,12,5.234e-06,5.234e-06
logger.py,182,timer_debug1,36,36,7.7019e-05,0.00021439400000000002
logger.py,200,__init__,6,6,2.9866000000000002e-05,7.5488e-05
_sparse.py,10,issparse,36,36,3.9125e-05,0.000212465
configuration_recovery.py,122,<genexpr>,744765,744765,0.343554548,0.343554548
__init__.py,96,_xla_gc_callback,4,4,2.4378000000000003e-05,2.4378000000000003e-05
direct_spin1.py,926,<lambda>,36,36,0.00014861100000000002,0.023343144000000003
selected_ci.py,926,_as_SCIvector,84,84,0.000133127,0.00037145
selected_ci.py,931,_as_SCIvector_if_not,18,18,1.1018e-05,1.5799000000000002e-05
selected_ci.py,893,_unpack,66,66,0.00016318000000000002,0.00030529600000000004
selected_ci.py,484,make_rdm1s,12,12,6.6042e-05,0.0018079810000000002
selected_ci.py,189,cre_des_linkstr_tril,12,12,1.2042000000000001e-05,0.000319417
selected_ci.py,230,des_des_linkstr_tril,12,12,1.0235000000000001e-05,1.4136000000000002e-05
selected_ci.py,350,<lambda>,30,30,0.000233111,0.000233111
selected_ci.py,739,__init__,6,6,1.6469e-05,3.9854e-05
selected_ci.py,818,make_rdm1,6,6,3.1782e-05,0.0008255560000000001
selected_ci.py,914,__array_finalize__,234,234,0.00019358500000000002,0.000262688
_misc.py,181,_datacopied,36,36,9.88e-06,9.88e-06
lapack.py,1055,<genexpr>,108,108,0.00010823000000000001,0.00032099200000000003
